case,event,time,lifecycle:transition,amount,paymentAmount,expense,org:resource,article,notificationType,matricola,vehicleClass,totalPaymentAmount,lastSent,dismissal,points
A1,Create Fine,2006/07/24 00:00:00.000,COMPLETE,35.0,,,561,157,,,A,0.0,,NIL,0
A1,Send Fine,2006/12/05 00:00:00.000,COMPLETE,,,11.0,,,,,,,,,
A100,Create Fine,2006/08/02 00:00:00.000,COMPLETE,35.0,,,561,157,,,A,0.0,,NIL,0
A100,Send Fine,2006/12/12 00:00:00.000,COMPLETE,,,11.0,,,,,,,,,
A100,Insert Fine Notification,2007/01/15 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A100,Add penalty,2007/03/16 00:00:00.000,COMPLETE,71.5,,,,,,,,,,,
A100,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A10000,Create Fine,2007/03/09 00:00:00.000,COMPLETE,36.0,,,561,157,,,A,0.0,,NIL,0
A10000,Send Fine,2007/07/17 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10000,Insert Fine Notification,2007/08/02 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10000,Add penalty,2007/10/01 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10000,Payment,2008/09/09 00:00:00.000,COMPLETE,,87.0,,,,,,,87.0,,,
A10001,Create Fine,2007/03/19 00:00:00.000,COMPLETE,36.0,,,537,157,,,A,0.0,,NIL,0
A10001,Send Fine,2007/07/17 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10001,Insert Fine Notification,2007/07/25 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10001,Insert Date Appeal to Prefecture,2007/08/02 00:00:00.000,COMPLETE,,,,,,,,,,,,
A10001,Add penalty,2007/09/23 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10001,Send Appeal to Prefecture,2007/09/24 00:00:00.000,COMPLETE,,,,,,,,,,,#,
A10004,Create Fine,2007/03/20 00:00:00.000,COMPLETE,36.0,,,537,157,,,A,0.0,,NIL,0
A10004,Send Fine,2007/07/17 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10004,Insert Fine Notification,2007/07/24 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10004,Add penalty,2007/09/22 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10004,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A10005,Create Fine,2007/03/20 00:00:00.000,COMPLETE,36.0,,,537,157,,,A,0.0,,NIL,0
A10005,Payment,2007/03/21 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A10007,Create Fine,2007/03/20 00:00:00.000,COMPLETE,36.0,,,537,157,,,A,0.0,,NIL,0
A10007,Payment,2007/03/23 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A10008,Create Fine,2007/03/20 00:00:00.000,COMPLETE,36.0,,,537,157,,,A,0.0,,NIL,0
A10008,Send Fine,2007/07/17 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10008,Insert Fine Notification,2007/08/02 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10008,Add penalty,2007/10/01 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10008,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A10009,Create Fine,2007/03/20 00:00:00.000,COMPLETE,22.0,,,537,7,,,A,0.0,,NIL,0
A10009,Send Fine,2007/07/17 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10009,Insert Fine Notification,2007/07/23 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10009,Add penalty,2007/09/21 00:00:00.000,COMPLETE,44.0,,,,,,,,,,,
A10009,Payment,2007/10/01 00:00:00.000,COMPLETE,,35.0,,,,,,,35.0,,,
A10009,Payment,2007/10/31 00:00:00.000,COMPLETE,,22.0,,,,,,,57.0,,,
A1001,Create Fine,2006/08/02 00:00:00.000,COMPLETE,21.0,,,550,7,,,A,0.0,,NIL,0
A1001,Send Fine,2006/12/12 00:00:00.000,COMPLETE,,,11.0,,,,,,,,,
A1001,Insert Fine Notification,2006/12/31 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A1001,Add penalty,2007/03/01 00:00:00.000,COMPLETE,42.5,,,,,,,,,,,
A1001,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
