case,event,time,lifecycle:transition,amount,paymentAmount,expense,org:resource,article,notificationType,matricola,vehicleClass,totalPaymentAmount,lastSent,dismissal,points,TimeUnix
A1,Create Fine,00:00.0,COMPLETE,35,,,561,157,,,A,0,,NIL,0,1153699200
A1,Send Fine,00:00.0,COMPLETE,,,11,,,,,,,,,,1165276800
A100,Create Fine,00:00.0,COMPLETE,35,,,561,157,,,A,0,,NIL,0,1154476800
A100,Send Fine,00:00.0,COMPLETE,,,11,,,,,,,,,,1165881600
A100,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1168819200
A100,Add penalty,00:00.0,COMPLETE,71.5,,,,,,,,,,,,1174003200
A100,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10000,Create Fine,00:00.0,COMPLETE,36,,,561,157,,,A,0,,NIL,0,1173398400
A10000,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10000,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1186012800
A10000,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1191196800
A10000,Payment,00:00.0,COMPLETE,,87,,,,,,,87,,,,1220918400
A10001,Create Fine,00:00.0,COMPLETE,36,,,537,157,,,A,0,,NIL,0,1174262400
A10001,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10001,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1185321600
A10001,Insert Date Appeal to Prefecture,00:00.0,COMPLETE,,,,,,,,,,,,,1186012800
A10001,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1190505600
A10001,Send Appeal to Prefecture,00:00.0,COMPLETE,,,,,,,,,,,#,,1190592000
A10004,Create Fine,00:00.0,COMPLETE,36,,,537,157,,,A,0,,NIL,0,1174348800
A10004,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10004,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1185235200
A10004,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1190419200
A10004,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10005,Create Fine,00:00.0,COMPLETE,36,,,537,157,,,A,0,,NIL,0,1174348800
A10005,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1174435200
A10007,Create Fine,00:00.0,COMPLETE,36,,,537,157,,,A,0,,NIL,0,1174348800
A10007,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1174608000
A10008,Create Fine,00:00.0,COMPLETE,36,,,537,157,,,A,0,,NIL,0,1174348800
A10008,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10008,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1186012800
A10008,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1191196800
A10008,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10009,Create Fine,00:00.0,COMPLETE,22,,,537,7,,,A,0,,NIL,0,1174348800
A10009,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10009,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1185148800
A10009,Add penalty,00:00.0,COMPLETE,44,,,,,,,,,,,,1190332800
A10009,Payment,00:00.0,COMPLETE,,35,,,,,,,35,,,,1191196800
A10009,Payment,00:00.0,COMPLETE,,22,,,,,,,57,,,,1193788800
A1001,Create Fine,00:00.0,COMPLETE,21,,,550,7,,,A,0,,NIL,0,1154476800
A1001,Send Fine,00:00.0,COMPLETE,,,11,,,,,,,,,,1165881600
A1001,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1167523200
A1001,Add penalty,00:00.0,COMPLETE,42.5,,,,,,,,,,,,1172707200
A1001,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10010,Create Fine,00:00.0,COMPLETE,36,,,537,157,,,A,0,,NIL,0,1174348800
A10010,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10010,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1185148800
A10010,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1190332800
A10010,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10011,Create Fine,00:00.0,COMPLETE,36,,,537,157,,,A,0,,NIL,0,1174435200
A10011,Send Fine,00:00.0,COMPLETE,,,18.6,,,,,,,,,,1191024000
A10011,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1192147200
A10011,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1197331200
A10011,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10012,Create Fine,00:00.0,COMPLETE,36,,,537,157,,,A,0,,NIL,0,1174435200
A10012,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1186012800
A10015,Create Fine,00:00.0,COMPLETE,36,,,537,157,,,A,0,,NIL,0,1174435200
A10015,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1186012800
A10015,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1187481600
A10015,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1192665600
A10015,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10018,Create Fine,00:00.0,COMPLETE,22,,,537,7,,,A,0,,NIL,0,1174521600
A10018,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1186012800
A10018,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1186617600
A10018,Add penalty,00:00.0,COMPLETE,44,,,,,,,,,,,,1191801600
A10018,Payment,00:00.0,COMPLETE,,35,,,,,,,35,,,,1191801600
A10019,Create Fine,00:00.0,COMPLETE,36,,,537,157,,,A,0,,NIL,0,1174521600
A10019,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10019,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1185148800
A10019,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1190332800
A10019,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A1002,Create Fine,00:00.0,COMPLETE,21,,,550,7,,,A,0,,NIL,0,1154736000
A1002,Send Fine,00:00.0,COMPLETE,,,11,,,,,,,,,,1165881600
A1002,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1167782400
A1002,Add penalty,00:00.0,COMPLETE,42.5,,,,,,,,,,,,1172966400
A1002,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10021,Create Fine,00:00.0,COMPLETE,36,,,537,157,,,A,0,,NIL,0,1174521600
A10021,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1186012800
A10021,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1186617600
A10021,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1191801600
A10021,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10022,Create Fine,00:00.0,COMPLETE,22,,,537,7,,,A,0,,NIL,0,1174521600
A10022,Payment,00:00.0,COMPLETE,,22,,,,,,,22,,,,1175040000
A10023,Create Fine,00:00.0,COMPLETE,36,,,537,157,,,A,0,,NIL,0,1174521600
A10023,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10023,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1185321600
A10023,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1190505600
A10023,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10024,Create Fine,00:00.0,COMPLETE,36,,,537,157,,,A,0,,NIL,0,1174521600
A10024,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1174867200
A10025,Create Fine,00:00.0,COMPLETE,36,,,537,157,,,A,0,,NIL,0,1174521600
A10025,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1186012800
A10025,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1186617600
A10025,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1191801600
A10025,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10026,Create Fine,00:00.0,COMPLETE,36,,,537,157,,,A,0,,NIL,0,1174521600
A10026,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10026,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1185321600
A10026,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1190505600
A10026,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10029,Create Fine,00:00.0,COMPLETE,36,,,537,157,,,A,0,,NIL,0,1174521600
A10029,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1176163200
A10030,Create Fine,00:00.0,COMPLETE,22,,,537,7,,,A,0,,NIL,0,1174521600
A10030,Payment,00:00.0,COMPLETE,,22,,,,,,,22,,,,1174867200
A10033,Create Fine,00:00.0,COMPLETE,36,,,537,157,,,A,0,,NIL,0,1174608000
A10033,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1186012800
A10033,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1187481600
A10033,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1192665600
A10033,Payment,00:00.0,COMPLETE,,87,,,,,,,87,,,,1221264000
A10034,Create Fine,00:00.0,COMPLETE,36,,,537,157,,,A,0,,NIL,0,1174608000
A10034,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1186012800
A10034,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1187568000
A10034,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1192752000
